timestamp,heart_rate_bpm,breathing_rate_lpm,spo2_percent,pm2.5_ug_m3,pm10_ug_m3,ozone_ppb,no2_ppb
2026-02-15 10:58:53.090251,77.8,17.2,97.2,313.22,607.98,41.68,36.39
2026-02-15 11:08:53.090251,75.9,15.1,97.2,186.18,269.55,29.97,32.87
2026-02-15 11:18:53.090251,71.8,14.9,97.2,87.18,131.9,19.71,30.31
2026-02-15 11:28:53.090251,65.1,14.1,96.6,151.84,241.84,25.36,36.91
2026-02-15 11:38:53.090251,72.9,18.3,97.5,146.6,219.13,23.2,34.92
2026-02-15 11:48:53.090251,78.6,14.6,97.6,149.58,252.1,26.83,37.84
2026-02-15 11:58:53.090251,73.4,14.8,97.0,217.87,376.51,28.96,40.15
2026-02-15 12:08:53.090251,79.5,16.4,96.3,229.9,360.95,30.51,43.16
2026-02-15 12:18:53.090251,77.5,13.3,97.4,201.66,397.43,32.94,38.56
2026-02-15 12:28:53.090251,76.3,18.5,97.5,221.02,361.74,34.12,46.39
2026-02-15 12:38:53.090251,72.0,15.4,96.9,205.41,393.2,50.37,47.29
2026-02-15 12:48:53.090251,78.1,14.4,97.2,212.41,345.63,40.08,44.71
2026-02-15 12:58:53.090251,76.4,19.7,97.2,197.61,301.04,39.54,45.88
2026-02-15 13:08:53.090251,77.6,16.7,96.8,164.39,227.38,42.05,41.17
2026-02-15 13:18:53.090251,78.3,18.5,95.9,166.19,283.93,43.25,56.7
2026-02-15 13:28:53.090251,74.7,19.3,98.0,174.98,309.99,34.7,49.41
2026-02-15 13:38:53.090251,80.7,17.9,96.6,196.46,356.2,25.77,53.04
2026-02-15 13:48:53.090251,76.3,14.0,97.3,201.51,359.75,23.22,53.77
2026-02-15 13:58:53.090251,73.0,15.1,96.8,183.35,305.13,25.34,39.88
2026-02-15 14:08:53.090251,65.3,17.4,98.0,165.63,257.04,22.69,34.23
2026-02-15 14:18:53.090251,86.6,16.0,97.4,159.54,235.27,18.56,22.56
2026-02-15 14:28:53.090251,72.8,14.2,96.8,143.68,183.89,6.94,21.82
2026-02-15 14:38:53.090251,73.1,19.3,97.9,128.73,136.07,10.91,17.35
2026-02-15 14:48:53.090251,76.7,14.8,96.9,164.98,200.02,9.35,15.77
2026-02-15 14:58:53.090251,76.0,13.5,96.8,148.59,203.81,16.65,20.83
2026-02-15 15:08:53.090251,69.9,15.0,96.6,129.34,137.86,18.18,25.66
2026-02-15 15:18:53.090251,81.0,17.0,96.3,154.2,217.2,17.11,30.39
2026-02-15 15:28:53.090251,67.0,14.4,96.9,134.6,156.9,15.23,28.6
