timestamp,pm2.5_ug_m3,pm10_ug_m3,ozone_ppb,no2_ppb
2015-01-01,313.22,607.98,41.68,36.39
2015-01-02,186.18,269.55,29.97,32.87
2015-01-03,87.18,131.9,19.71,30.31
2015-01-04,151.84,241.84,25.36,36.91
2015-01-05,146.6,219.13,23.2,34.92
2015-01-06,149.58,252.1,26.83,37.84
2015-01-07,217.87,376.51,28.96,40.15
2015-01-08,229.9,360.95,30.51,43.16
2015-01-09,201.66,397.43,32.94,38.56
2015-01-10,221.02,361.74,34.12,46.39
2015-01-11,205.41,393.2,50.37,47.29
2015-01-12,212.41,345.63,40.08,44.71
2015-01-13,197.61,301.04,39.54,45.88
2015-01-14,164.39,227.38,42.05,41.17
2015-01-15,166.19,283.93,43.25,56.7
2015-01-16,174.98,309.99,34.7,49.41
2015-01-17,196.46,356.2,25.77,53.04
2015-01-18,201.51,359.75,23.22,53.77
2015-01-19,183.35,305.13,25.34,39.88
2015-01-20,165.63,257.04,22.69,34.23
2015-01-21,159.54,235.27,18.56,22.56
2015-01-22,143.68,183.89,6.94,21.82
2015-01-23,128.73,136.07,10.91,17.35
2015-01-24,164.98,200.02,9.35,15.77
2015-01-25,148.59,203.81,16.65,20.83
2015-01-26,129.34,137.86,18.18,25.66
2015-01-27,154.2,217.2,17.11,30.39
2015-01-28,134.6,156.9,15.23,28.6
2015-01-29,173.13,277.0,16.29,38.34
2015-01-30,178.04,272.61,14.91,38.43
2015-01-31,158.59,207.06,17.51,41.36
2015-02-01,211.59,371.05,23.28,58.17
2015-02-02,163.64,219.84,28.38,37.25
2015-02-03,157.71,194.09,28.56,31.05
2015-02-04,137.26,147.08,15.07,29.69
2015-02-05,131.76,127.42,21.7,36.51
2015-02-06,151.6,330.99,33.92,67.0
2015-02-07,160.75,210.52,43.44,57.69
2015-02-08,145.34,215.69,30.43,50.39
2015-02-09,134.67,109.86,20.62,39.18
2015-02-10,153.07,218.23,19.02,42.2
2015-02-11,116.91,316.14,27.17,53.63
2015-02-12,177.98,394.97,25.58,42.73
2015-02-13,167.01,328.43,27.62,44.61
2015-02-14,193.96,412.46,34.22,53.81
2015-02-15,184.06,497.37,40.91,58.15
2015-02-16,152.62,310.74,34.36,44.22
2015-02-17,161.27,195.78,41.62,25.4
2015-02-18,188.2,253.53,36.54,60.29
2015-02-19,159.97,193.78,31.88,40.51
2015-02-20,144.12,162.2,31.61,34.71
2015-02-21,155.38,191.03,30.11,45.11
2015-02-22,124.1,107.61,27.19,31.83
2015-02-23,141.39,157.01,36.86,38.23
2015-02-24,170.16,238.33,37.39,48.4
2015-02-25,148.19,169.57,31.57,29.28
2015-02-26,140.78,171.64,28.72,20.95
2015-02-27,130.42,163.67,34.08,24.75
2015-02-28,105.86,169.28,41.38,20.65
2015-03-01,71.83,98.89,22.51,21.42
2015-03-02,53.71,60.15,22.08,13.43
2015-03-03,83.49,112.1,20.83,23.75
2015-03-04,91.07,139.15,25.83,24.28
2015-03-05,106.57,196.19,32.88,31.12
2015-03-06,101.75,163.14,33.67,26.59
2015-03-07,77.57,90.54,23.09,19.15
2015-03-08,63.24,80.2,20.71,20.35
2015-03-09,76.62,117.38,22.85,18.21
2015-03-10,86.7,150.92,25.87,18.82
2015-03-11,104.29,176.2,29.62,25.63
2015-03-12,115.93,203.75,35.05,32.29
2015-03-13,108.66,173.89,34.05,30.75
2015-03-14,67.94,105.29,23.39,29.78
2015-03-15,38.89,46.68,22.0,17.76
2015-03-16,45.39,74.14,25.55,17.14
2015-03-17,55.55,104.33,23.11,20.96
2015-03-18,50.59,95.56,27.5,16.6
2015-03-19,69.51,136.67,27.07,23.77
2015-03-20,96.62,168.0,29.01,29.04
2015-03-21,96.28,172.91,25.97,29.21
2015-03-22,72.2,122.12,25.48,20.27
2015-03-23,78.47,131.42,27.1,23.04
2015-03-24,91.87,179.36,34.78,30.01
2015-03-25,107.26,201.08,45.78,33.82
2015-03-26,109.78,217.9,40.0,33.02
2015-03-27,62.27,117.81,31.08,24.76
2015-03-28,102.22,212.96,40.23,29.41
2015-03-29,104.36,202.01,32.84,33.86
2015-03-30,44.19,57.0,26.81,17.6
2015-03-31,55.66,78.64,34.15,20.13
2015-04-01,112.86,167.6,38.45,32.71
2015-04-02,78.51,112.78,35.54,20.54
2015-04-03,66.52,76.05,24.85,18.47
2015-04-04,62.56,86.11,27.98,24.96
2015-04-05,78.61,145.1,40.79,27.75
2015-04-06,119.7,195.47,30.32,32.83
2015-04-07,66.09,95.81,43.23,24.47
2015-04-08,95.34,120.2,61.68,34.72
2015-04-09,63.57,148.17,35.18,35.15
2015-04-10,96.56,203.67,59.88,52.77
2015-04-11,131.39,234.65,73.72,59.52
2015-04-12,75.35,91.73,49.21,45.3
2015-04-13,86.49,116.62,62.52,50.3
2015-04-14,77.07,132.68,55.44,42.65
2015-04-15,98.79,161.43,31.14,47.41
2015-04-16,81.81,164.56,59.29,44.06
2015-04-17,65.78,180.67,54.47,40.09
2015-04-18,119.82,268.65,65.72,51.11
2015-04-19,125.53,308.82,65.08,64.73
2015-04-20,121.51,336.63,87.04,60.41
2015-04-21,114.5,327.81,74.49,50.7
2015-04-22,101.83,279.41,69.41,55.27
2015-04-23,118.57,273.68,76.14,76.46
2015-04-24,143.22,313.53,89.42,88.61
2015-04-25,106.76,318.88,93.54,58.87
2015-04-26,65.36,160.3,77.43,31.23
2015-04-27,67.08,174.5,70.74,35.54
2015-04-28,81.37,141.25,70.42,34.88
2015-04-29,63.76,131.56,61.86,42.98
2015-04-30,60.56,171.42,60.18,43.9
2015-05-01,76.1,192.81,53.16,42.99
2015-05-02,72.66,206.1,43.06,62.09
2015-05-03,121.94,334.02,41.71,83.3
2015-05-04,108.98,326.71,37.7,85.5
2015-05-05,145.99,366.85,50.27,107.85
2015-05-06,171.33,346.98,92.66,87.88
2015-05-07,117.76,343.12,75.6,63.18
2015-05-08,90.66,305.38,74.84,56.54
2015-05-09,106.4,285.38,76.38,63.57
2015-05-10,101.21,283.47,67.97,57.51
2015-05-11,97.57,336.82,87.93,42.7
2015-05-12,96.34,293.26,83.43,43.04
2015-05-13,83.42,174.52,55.62,48.61
2015-05-14,78.06,196.08,57.1,42.22
2015-05-15,97.87,240.34,77.87,63.55
2015-05-16,77.52,186.28,73.24,75.5
2015-05-17,97.16,188.39,70.29,57.63
2015-05-18,66.85,172.35,79.02,47.64
2015-05-19,89.85,240.31,79.55,75.47
2015-05-20,67.41,176.25,57.17,52.69
2015-05-21,75.54,335.13,42.61,53.03
2015-05-22,67.91,235.99,64.34,56.84
2015-05-23,69.02,313.73,66.63,52.79
2015-05-24,79.1,251.52,60.08,56.29
2015-05-25,117.27,340.66,95.72,60.65
2015-05-26,96.09,311.08,79.4,51.77
2015-05-27,84.71,231.35,80.71,70.43
2015-05-28,182.76,436.17,83.33,72.67
2015-05-29,106.61,275.6,76.1,64.94
2015-05-30,92.68,239.12,69.95,65.26
2015-05-31,73.62,236.8,87.47,41.86
2015-06-01,49.42,175.39,72.89,48.55
2015-06-02,52.51,117.86,56.2,54.29
2015-06-03,65.28,137.7,41.92,65.25
2015-06-04,85.45,170.55,63.0,62.38
2015-06-05,83.02,241.67,52.03,62.63
2015-06-06,44.54,119.29,37.09,46.37
2015-06-07,85.03,186.2,88.63,77.07
2015-06-08,137.7,269.3,86.2,109.34
2015-06-09,136.05,393.7,58.0,76.88
2015-06-10,63.77,166.31,56.84,31.27
