timestamp,heart_rate_bpm,breathing_rate_lpm,spo2_percent
2026-01-30 09:48:53.090251,73.5,16.8,96.7
2026-01-30 09:58:53.090251,70.8,12.4,96.9
2026-01-30 10:08:53.090251,77.2,15.5,97.4
2026-01-30 10:18:53.090251,70.9,18.4,97.5
2026-01-30 10:28:53.090251,73.7,11.7,96.7
2026-01-30 10:38:53.090251,72.9,16.1,97.5
2026-01-30 10:48:53.090251,78.4,16.8,96.8
2026-01-30 10:58:53.090251,71.1,17.1,97.4
2026-01-30 11:08:53.090251,74.0,13.5,97.4
2026-01-30 11:18:53.090251,74.1,18.8,97.3
2026-01-30 11:28:53.090251,77.9,16.6,97.4
2026-01-30 11:38:53.090251,73.8,15.8,97.1
2026-01-30 11:48:53.090251,72.2,12.6,96.7
2026-01-30 11:58:53.090251,71.2,13.4,96.6
2026-01-30 12:08:53.090251,64.8,15.5,96.9
2026-01-30 12:18:53.090251,74.8,11.3,96.7
2026-01-30 12:28:53.090251,71.8,14.6,97.2
2026-01-30 12:38:53.090251,70.1,16.8,96.8
2026-01-30 12:48:53.090251,70.2,11.8,96.5
2026-01-30 12:58:53.090251,79.3,15.6,97.3
2026-01-30 13:08:53.090251,80.6,14.5,96.0
2026-01-30 13:18:53.090251,80.0,15.9,96.9
2026-01-30 13:28:53.090251,74.6,13.3,96.2
2026-01-30 13:38:53.090251,77.2,18.1,97.4
2026-01-30 13:48:53.090251,76.3,10.0,96.2
2026-01-30 13:58:53.090251,80.6,19.6,97.8
2026-01-30 14:08:53.090251,68.1,12.8,98.0
2026-01-30 14:18:53.090251,81.9,16.2,97.6
2026-01-30 14:28:53.090251,75.5,18.2,96.9
2026-01-30 14:38:53.090251,69.3,17.6,97.1
2026-01-30 14:48:53.090251,77.6,16.0,96.6
2026-01-30 14:58:53.090251,77.5,15.6,96.4
2026-01-30 15:08:53.090251,70.9,15.9,97.2
2026-01-30 15:18:53.090251,70.8,16.1,97.1
2026-01-30 15:28:53.090251,71.1,14.1,97.0
2026-01-30 15:38:53.090251,76.3,14.8,97.5
2026-01-30 15:48:53.090251,71.6,14.1,97.8
2026-01-30 15:58:53.090251,72.7,16.7,96.3
2026-01-30 16:08:53.090251,76.2,17.3,97.9
2026-01-30 16:18:53.090251,74.1,15.4,96.5
2026-01-30 16:28:53.090251,81.8,14.9,96.4
2026-01-30 16:38:53.090251,75.0,15.6,96.5
2026-01-30 16:48:53.090251,75.5,17.1,97.2
2026-01-30 16:58:53.090251,78.2,13.4,97.2
2026-01-30 17:08:53.090251,96.6,22.3,95.5
2026-01-30 17:18:53.090251,98.6,27.4,95.6
2026-01-30 17:28:53.090251,95.9,30.8,94.6
2026-01-30 17:38:53.090251,84.0,21.9,94.3
2026-01-30 17:48:53.090251,115.2,30.9,95.0
2026-01-30 17:58:53.090251,107.2,13.8,95.4
2026-01-30 18:08:53.090251,85.9,23.1,94.6
2026-01-30 18:18:53.090251,96.9,23.2,94.0
2026-01-30 18:28:53.090251,95.1,25.8,95.9
2026-01-30 18:38:53.090251,98.4,22.7,96.0
2026-01-30 18:48:53.090251,83.1,27.4,95.1
2026-01-30 18:58:53.090251,93.1,28.4,95.1
2026-01-30 19:08:53.090251,80.2,15.3,97.0
2026-01-30 19:18:53.090251,77.2,17.3,96.9
2026-01-30 19:28:53.090251,85.6,14.8,96.9
2026-01-30 19:38:53.090251,80.6,14.8,97.1
2026-01-30 19:48:53.090251,71.1,18.1,96.5
